RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         7850     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.666D-01  4.103D+00
    1    2     1     0  ---    0  4.7D-01  1.0D+00  6.800D-02  2.922D+00
    2    3     0     0  con    0  1.0D+00  7.2D-01  7.204D-02  2.390D+00
    3    4     0     0  con    0  1.0D+00  1.0D+00  1.408D-01  1.770D+00
    4    5     0     0  con    0  1.0D+00  2.7D+00  7.590D-02  9.963D-01
    5    6     0     0  con    0  1.0D+00  1.1D+00  4.760D-02  8.585D-01
    6    7     0     0  con    0  1.0D+00  4.6D-01  2.370D-02  7.724D-01
    7    8     0     0  con    0  1.0D+00  9.4D-01  1.101D-02  7.024D-01
    8    9     0     0  con    0  1.0D+00  9.6D-01  1.255D-02  6.557D-01
    9   10     0     0  con    0  1.0D+00  1.7D+00  1.750D-02  5.856D-01
   10   11     0     0  con    0  1.0D+00  1.6D+00  6.077D-03  5.256D-01
   11   12     0     0  con    0  1.0D+00  4.7D-01  5.550D-03  5.110D-01
   12   13     0     0  con    0  1.0D+00  1.4D+00  6.082D-03  4.650D-01
   13   14     0     0  con    0  1.0D+00  1.9D+00  1.949D-02  4.442D-01
   14   15     0     0  con    0  1.0D+00  6.7D-01  8.135D-03  4.128D-01
   15   16     0     0  con    0  1.0D+00  3.3D-01  4.251D-03  4.018D-01
   16   17     0     0  con    0  1.0D+00  6.4D-01  5.541D-03  3.897D-01
   17   18     0     0  con    0  1.0D+00  5.4D-01  6.384D-03  3.801D-01
   18   19     0     0  con    0  1.0D+00  7.0D-01  5.727D-03  3.679D-01
   19   20     0     0  con    0  1.0D+00  1.4D+00  6.725D-03  3.530D-01
   20   21     0     0  con    0  1.0D+00  1.2D+00  5.302D-03  3.464D-01
   21   22     0     0  con    0  1.0D+00  2.3D-01  2.888D-03  3.407D-01
   22   23     0     0  con    0  1.0D+00  3.0D-01  3.690D-03  3.353D-01
   23   24     0     0  con    0  1.0D+00  5.9D-01  5.515D-03  3.289D-01
   24   25     0     0  con    0  1.0D+00  1.1D+00  9.756D-03  3.252D-01
   25   26     0     0  con    0  1.0D+00  2.1D-01  3.648D-03  3.193D-01
   26   27     0     0  con    0  1.0D+00  2.8D-01  2.311D-03  3.166D-01
   27   28     0     0  con    0  1.0D+00  3.5D-01  4.076D-03  3.140D-01
   28   29     0     0  con    0  1.0D+00  5.9D-01  4.523D-03  3.096D-01
   29   30     0     0  con    0  1.0D+00  9.4D-01  6.448D-03  3.047D-01
   30   31     0     0  con    0  1.0D+00  7.5D-01  1.836D-03  2.994D-01
   31   32     0     0  con    0  1.0D+00  2.1D-01  1.759D-03  2.971D-01
